commerce;handel
market ;rynek
bankruptcy;bankructwo
become bankrupt;zbankrutowac
bribe;³apowka
company car;samochod sluzbowy
competitive;konkurencyjny
corporate image;wizerunek firmy
department;wydzial, dzial
efficiency;wydajnosc, efektywnosc, skutecznosc
establish a company;zalozyc firme
fizzle out;splajtowac
industrial hall;hala przemyslowa
income;dochod
annual income;roczny dochod
intercom;telefon wewnetrzny
lossmarker;nierentowna firma
make a profit;osiagnac zysk, zarobic
market leader;lider rynku
buisness phone;telefon sluzbowy
on the house;na koszt firmy
own a company;posiadac firme
owner ;wlasciciel
profit;zysk
progressive company;postepa, nowoczesna firma
recession;recesja
reliable company;solidna, rzetelna firma
run a company;prowadzic firme
sales representative;przedstawiciel handlowy
self-employed;samozatruniony
service company;firma uslugowa
set up a company;zakladac firme
staff;personel
supervisory board;rada nadzorcza
transport company;firma przewozowa
warehouse;magazyn
chief executive officer (CEO);dyrektor naczelny
enterprise;przedsiewziecie, przedsiebiorstwo
headquarters;siedziba
overheads;koszty ogolne
